"","(Intercept)","seasonSpring","seasonSummer","seasonWinter","provBritish Columbia","provManitoba","provNew Brunswick","provNewfoundland and Labrador","provNorthwest Territories","provNova Scotia","provNunavut","provOntario","provPrince Edward Island","provQuebec","provSaskatchewan","provYukon","retail"
"boot_params.29",3.6432290173064,-0.0897238352697849,-0.585503116448839,-0.256250413083492,0.800514061770561,-1.85085915082335,-2.54490551411096,-3.00677188498506,-5.2982110815576,-2.36175513681131,-4.69971879039288,5.28315843593637,-4.18311759825283,2.05977876670608,-2.44915231582485,-4.0865886235414,-1.71783293388459
"boot_params.30",3.7209725165137,-0.0738718950146984,-0.578875940671427,-0.240910060590537,0.830195699394001,-1.94709414548346,-2.70978802594493,-3.24401049554285,-5.43057995835727,-2.46798982419328,-5.07758606873915,5.83253833244002,-4.18872942860144,2.30154200555237,-2.67536565373791,-4.52523076179214,-1.94873342398325
"boot_params.31",3.64054558164328,-0.0501479432696249,-0.546453428177508,-0.223738390670112,0.815573396004125,-1.87926721021375,-2.65508616164255,-3.07456016782836,-4.9402145143743,-2.32628022576612,-5.69082675959186,5.44176578695655,-4.24216329215132,2.12469524736535,-2.57950445065844,-4.06984996428602,-1.78262362477518
"boot_params.32",3.62131075802015,-0.0529759484501564,-0.548016163936109,-0.212776889342826,0.830307340725728,-1.86728545356501,-2.56721917804884,-2.94149475466395,-4.98335979693122,-2.33492849121714,-5.07757321088406,5.43577689526853,-4.16450253761795,2.1256255694421,-2.48230391288071,-3.86157340050704,-1.77628637176272
"boot_params.33",3.58847515093113,-0.0698322554302317,-0.586218903800431,-0.241411116039914,0.794954847818586,-1.72885210432635,-2.40746009663938,-2.9812138749557,-5.72052531775152,-2.23585472459393,-5.21751444215968,5.14269661357318,-4.30344916006853,2.01838561326592,-2.4450129493115,-3.96165616355457,-1.65015186018547
"boot_params.34",3.73789319242899,-0.0731651880053463,-0.548583034837873,-0.243098128441732,0.841574912037507,-2.04741620458647,-2.72670249996882,-3.29995779119916,-5.84941401642668,-2.55404718268105,-4.77244617619743,5.90757652570616,-4.31691368916125,2.30103156573501,-2.75899535170758,-4.31067529624473,-1.98662802597271
"boot_params.35",3.62937833834924,-0.0761720110706231,-0.559288774380812,-0.225191778797388,0.816981265718359,-1.82260224733245,-2.52566188806891,-3.02432511107196,-5.02992488673327,-2.32863991099707,-4.80850742890822,5.43702512526004,-4.10217051830485,2.13406549592254,-2.54792604188535,-3.88445208148951,-1.77379574723137
"boot_params.36",3.72808606311051,-0.0863938175964112,-0.56183840624799,-0.268448997452657,0.830911372919436,-1.9828052911486,-2.78023950708035,-3.05642300733613,-5.73610435356428,-2.45298135451707,-4.79924728140306,5.82141171736754,-4.33341768980705,2.28578334887025,-2.71501233752508,-4.42277014387549,-1.94640566750109
"boot_params.37",3.71816322575566,-0.0702781071922786,-0.586360005202744,-0.252731686927446,0.826874131772939,-1.9758635999731,-2.69402077259125,-3.21010784741098,-5.41991385381452,-2.47169591282368,-4.6849528112483,5.74678086256302,-4.37927765826941,2.24121258120752,-2.67547395247355,-4.19312608349291,-1.9164428766049
"boot_params.38",3.72797010489524,-0.0837354523960126,-0.572087546222074,-0.25760723886428,0.863982079854888,-2.03673286239199,-2.69242094965446,-3.21188727268187,-5.10767934068376,-2.56749506790621,-4.98462466032737,5.95415242951791,-4.48106250829438,2.35541862971435,-2.64361776611297,-4.39708636146411,-1.99314383269826
"boot_params.39",3.62700002421161,-0.0719620905843272,-0.557176908699845,-0.251510613731254,0.803816523122044,-1.84068146089811,-2.59283663180317,-2.91688524320982,-5.16093947399985,-2.35951928646852,-4.72828630068419,5.36344174785636,-3.82799664113405,2.11018072620594,-2.41760504808158,-4.19266629493309,-1.74506367112321
"boot_params.40",3.63463752169704,-0.0591318474729185,-0.58072253941994,-0.252232637829085,0.792971268015164,-1.81974481683329,-2.62498385892031,-2.92124388683722,-4.98549611559335,-2.26741560381241,-5.23422598719694,5.35604821496674,-4.24353165243055,2.08685322412889,-2.50820336206038,-4.2870329474301,-1.74269162587206
"boot_params.41",3.71329036201597,-0.0745838302232529,-0.572748328472598,-0.242281694598023,0.819001686587643,-2.01828052852975,-2.77175661791058,-3.25536184250438,-5.03587996281964,-2.48624234606143,-5.10238848032099,5.66663192240494,-4.46504212427501,2.20399125311924,-2.6223643548245,-3.98489167150602,-1.88509404107345
"boot_params.42",3.64081140977657,-0.0622137914061527,-0.580897588538639,-0.243897878386186,0.850027540269019,-1.86057814858814,-2.58927359523873,-3.01375659779375,-4.77475670669482,-2.39069239986702,-4.94268565366406,5.61203176131951,-3.98858427296041,2.22541297225611,-2.51555744104206,-4.08768958918823,-1.84137225479354
"boot_params.43",3.70874988713012,-0.0811643679584549,-0.571142244470228,-0.248001906272825,0.835641904007495,-2.02918670895329,-2.69358791637958,-3.13687702189263,-5.14275560702999,-2.48245072496471,-5.06307660420318,5.79858240242453,-4.41545329345698,2.26707115106518,-2.69654794754323,-4.55070829220177,-1.93255294140104
"boot_params.44",3.72482087435184,-0.0754283984390363,-0.576213852514893,-0.23034847591667,0.817643656256375,-2.04211287547205,-2.77393104122177,-3.11942528026234,-5.11374467191393,-2.52508667654753,-4.77552828212224,5.75217091833189,-4.1470005328588,2.24150306484615,-2.69606806131698,-4.43296744315295,-1.92073480248603
"boot_params.45",3.69795670507024,-0.0821238283029186,-0.547157040989386,-0.2553013829016,0.798574734199313,-1.92605678754632,-2.64766939843543,-3.07922776499766,-5.04357448867246,-2.46702871471547,-5.05656020023726,5.61591593964333,-4.14557072473998,2.17277633165966,-2.62568980257067,-4.23608001785249,-1.86153738998223
"boot_params.46",3.59530823805272,-0.0454901109012977,-0.539501977874697,-0.217464506023128,0.829405009722614,-1.78686171450884,-2.56256893338934,-2.93709965112091,-4.93271166425738,-2.28022992802537,-4.98445636532574,5.30814335757416,-4.13937804445532,2.07905888627009,-2.38722964816225,-4.04374442822453,-1.71959893320365
"boot_params.47",3.65943882349312,-0.0690950880502038,-0.544234651830607,-0.251537309422446,0.858527031793444,-1.89123744504252,-2.65515865708615,-3.08349229635125,-5.45431634528515,-2.45039931238741,-4.98280635228505,5.7455903069938,-4.30469516647088,2.27792829352753,-2.58487563622531,-4.28669977874683,-1.89439953138704
"boot_params.48",3.64071061497607,-0.0640405174696182,-0.552663704434169,-0.238515690672118,0.803320735445377,-1.87449340362231,-2.52307150004861,-3.02438421024595,-4.84169476198043,-2.32756711016626,-4.69977126071565,5.42627125724285,-4.18691891878098,2.11799873563486,-2.49428940477,-3.98098660824212,-1.77283125340685
"boot_params.49",3.71183870833217,-0.0626178382115807,-0.572680334326519,-0.251366328844914,0.831814142724934,-1.98375426814102,-2.73741252716077,-3.18132254446334,-5.33479045662711,-2.51596021407333,-5.72677827454097,5.81509619518475,-4.49696620722085,2.28002859778919,-2.68202058957283,-4.30104488331422,-1.94042769850332
