"","GEO","retail","year","month"
"156","Yukon",80082,"2017","December"
"157","Alberta",6917447,"2018","January"
"158","British Columbia",7398388,"2018","January"
"159","Manitoba",1838483,"2018","January"
"160","New Brunswick",1080622,"2018","January"
"161","Newfoundland and Labrador",762943,"2018","January"
"162","Northwest Territories",70699,"2018","January"
"163","Nova Scotia",1362535,"2018","January"
"164","Nunavut",40353,"2018","January"
"165","Ontario",19841693,"2018","January"
"166","Prince Edward Island",208109,"2018","January"
"167","Quebec",10978276,"2018","January"
"168","Saskatchewan",1699562,"2018","January"
"169","Yukon",72335,"2018","January"
"170","Alberta",6884324,"2018","February"
"171","British Columbia",7414089,"2018","February"
"172","Manitoba",1694954,"2018","February"
"173","New Brunswick",1080177,"2018","February"
"174","Newfoundland and Labrador",773106,"2018","February"
"175","Northwest Territories",68003,"2018","February"
"176","Nova Scotia",1394547,"2018","February"
"177","Nunavut",37253,"2018","February"
"178","Ontario",19783552,"2018","February"
"179","Prince Edward Island",209249,"2018","February"
"180","Quebec",10944079,"2018","February"
"181","Saskatchewan",1684505,"2018","February"
"182","Yukon",67627,"2018","February"
"183","Alberta",6830192,"2018","March"
"184","British Columbia",7393743,"2018","March"
"185","Manitoba",1736813,"2018","March"
"186","New Brunswick",1060407,"2018","March"
"187","Newfoundland and Labrador",773804,"2018","March"
"188","Northwest Territories",68842,"2018","March"
"189","Nova Scotia",1353712,"2018","March"
"190","Nunavut",36592,"2018","March"
"191","Ontario",19793528,"2018","March"
"192","Prince Edward Island",202365,"2018","March"
"193","Quebec",11075244,"2018","March"
"194","Saskatchewan",1552425,"2018","March"
"195","Yukon",69298,"2018","March"
"196","Alberta",6867732,"2018","April"
"197","British Columbia",7567765,"2018","April"
"198","Manitoba",1751519,"2018","April"
"199","New Brunswick",1069299,"2018","April"
"200","Newfoundland and Labrador",778259,"2018","April"
"201","Northwest Territories",69176,"2018","April"
"202","Nova Scotia",1400903,"2018","April"
"203","Nunavut",37425,"2018","April"
"204","Ontario",19649640,"2018","April"
"205","Prince Edward Island",201254,"2018","April"
"206","Quebec",10963794,"2018","April"
"207","Saskatchewan",1672210,"2018","April"
"208","Yukon",72800,"2018","April"
"209","Alberta",7168885,"2018","May"
"210","British Columbia",7609988,"2018","May"
"211","Manitoba",1773933,"2018","May"
"212","New Brunswick",1105668,"2018","May"
"213","Newfoundland and Labrador",772133,"2018","May"
"214","Northwest Territories",69689,"2018","May"
"215","Nova Scotia",1396148,"2018","May"
"216","Nunavut",36149,"2018","May"
"217","Ontario",20168123,"2018","May"
"218","Prince Edward Island",210235,"2018","May"
"219","Quebec",11378025,"2018","May"
"220","Saskatchewan",1683830,"2018","May"
"221","Yukon",74277,"2018","May"
"222","Alberta",7007217,"2018","June"
"223","British Columbia",7554814,"2018","June"
"224","Manitoba",1784074,"2018","June"
"225","New Brunswick",1078425,"2018","June"
"226","Newfoundland and Labrador",751625,"2018","June"
"227","Northwest Territories",68880,"2018","June"
"228","Nova Scotia",1364163,"2018","June"
"229","Nunavut",38458,"2018","June"
"230","Ontario",20408902,"2018","June"
"231","Prince Edward Island",209637,"2018","June"
"232","Quebec",11231527,"2018","June"
"233","Saskatchewan",1714809,"2018","June"
"234","Yukon",75411,"2018","June"
"235","Alberta",6978264,"2018","July"
"236","British Columbia",7506840,"2018","July"
"237","Manitoba",1760379,"2018","July"
"238","New Brunswick",1112654,"2018","July"
"239","Newfoundland and Labrador",773232,"2018","July"
"240","Northwest Territories",68905,"2018","July"
"241","Nova Scotia",1384346,"2018","July"
"242","Nunavut",39414,"2018","July"
