"","GEO","retail","year","month"
"679","Manitoba",1994860,"2021","May"
"680","New Brunswick",1272113,"2021","May"
"681","Newfoundland and Labrador",872782,"2021","May"
"682","Northwest Territories",73538,"2021","May"
"683","Nova Scotia",1404704,"2021","May"
"684","Nunavut",47932,"2021","May"
"685","Ontario",19659987,"2021","May"
"686","Prince Edward Island",248608,"2021","May"
"687","Quebec",13030789,"2021","May"
"688","Saskatchewan",1977178,"2021","May"
"689","Yukon",86091,"2021","May"
"690","Alberta",7577431,"2021","June"
"691","British Columbia",8649690,"2021","June"
"692","Manitoba",1984991,"2021","June"
"693","New Brunswick",1239730,"2021","June"
"694","Newfoundland and Labrador",845138,"2021","June"
"695","Northwest Territories",76033,"2021","June"
"696","Nova Scotia",1615563,"2021","June"
"697","Nunavut",47182,"2021","June"
"698","Ontario",22252145,"2021","June"
"699","Prince Edward Island",249426,"2021","June"
"700","Quebec",12902224,"2021","June"
"701","Saskatchewan",1918460,"2021","June"
"702","Yukon",80091,"2021","June"
"703","Alberta",7484188,"2021","July"
"704","British Columbia",8686801,"2021","July"
"705","Manitoba",1992240,"2021","July"
"706","New Brunswick",1251852,"2021","July"
"707","Newfoundland and Labrador",845046,"2021","July"
"708","Northwest Territories",77315,"2021","July"
"709","Nova Scotia",1586302,"2021","July"
"710","Nunavut",47806,"2021","July"
"711","Ontario",22807421,"2021","July"
"712","Prince Edward Island",248305,"2021","July"
"713","Quebec",13070247,"2021","July"
"714","Saskatchewan",1922809,"2021","July"
"715","Yukon",81279,"2021","July"
"716","Alberta",7535652,"2021","August"
"717","British Columbia",8666924,"2021","August"
"718","Manitoba",2015566,"2021","August"
"719","New Brunswick",1279397,"2021","August"
"720","Newfoundland and Labrador",858331,"2021","August"
"721","Northwest Territories",77007,"2021","August"
"722","Nova Scotia",1637337,"2021","August"
"723","Nunavut",47013,"2021","August"
"724","Ontario",23343852,"2021","August"
"725","Prince Edward Island",262021,"2021","August"
"726","Quebec",13314189,"2021","August"
"727","Saskatchewan",1966516,"2021","August"
"728","Yukon",83592,"2021","August"
"729","Alberta",7603596,"2021","September"
"730","British Columbia",8703469,"2021","September"
"731","Manitoba",2003697,"2021","September"
"732","New Brunswick",1272969,"2021","September"
"733","Newfoundland and Labrador",883374,"2021","September"
"734","Northwest Territories",72566,"2021","September"
"735","Nova Scotia",1695065,"2021","September"
"736","Nunavut",46198,"2021","September"
"737","Ontario",22680994,"2021","September"
"738","Prince Edward Island",262794,"2021","September"
"739","Quebec",13433397,"2021","September"
"740","Saskatchewan",1938499,"2021","September"
"741","Yukon",84931,"2021","September"
"742","Alberta",7829629,"2021","October"
"743","British Columbia",8732561,"2021","October"
"744","Manitoba",2086672,"2021","October"
"745","New Brunswick",1289208,"2021","October"
"746","Newfoundland and Labrador",890968,"2021","October"
"747","Northwest Territories",76360,"2021","October"
"748","Nova Scotia",1659974,"2021","October"
"749","Nunavut",47210,"2021","October"
"750","Ontario",23214883,"2021","October"
"751","Prince Edward Island",269027,"2021","October"
"752","Quebec",13432133,"2021","October"
"753","Saskatchewan",2004112,"2021","October"
"754","Yukon",85909,"2021","October"
"755","Alberta",7963697,"2021","November"
"756","British Columbia",8727947,"2021","November"
"757","Manitoba",2053418,"2021","November"
"758","New Brunswick",1328449,"2021","November"
"759","Newfoundland and Labrador",912503,"2021","November"
"760","Northwest Territories",77647,"2021","November"
"761","Nova Scotia",1656711,"2021","November"
"762","Nunavut",47242,"2021","November"
"763","Ontario",23612247,"2021","November"
"764","Prince Edward Island",265851,"2021","November"
"765","Quebec",13564550,"2021","November"
"766","Saskatchewan",2055712,"2021","November"
"767","Yukon",85246,"2021","November"
"768","Alberta",7780095,"2021","December"
"769","British Columbia",8764794,"2021","December"
"770","Manitoba",2067791,"2021","December"
"771","New Brunswick",1310467,"2021","December"
"772","Newfoundland and Labrador",869030,"2021","December"
"773","Northwest Territories",78627,"2021","December"
"774","Nova Scotia",1638608,"2021","December"
"775","Nunavut",48448,"2021","December"
"776","Ontario",23407271,"2021","December"
"777","Prince Edward Island",263122,"2021","December"
"778","Quebec",13433274,"2021","December"
"779","Saskatchewan",2025964,"2021","December"
"780","Yukon",87337,"2021","December"
"781","Alberta",7679581,"2022","January"
"782","British Columbia",8827284,"2022","January"
"783","Manitoba",2090269,"2022","January"
"784","New Brunswick",1333776,"2022","January"
"785","Newfoundland and Labrador",927147,"2022","January"
"786","Northwest Territories",74289,"2022","January"
"787","Nova Scotia",1610536,"2022","January"
"788","Nunavut",50130,"2022","January"
"789","Ontario",24234561,"2022","January"
"790","Prince Edward Island",270363,"2022","January"
"791","Quebec",14036098,"2022","January"
"792","Saskatchewan",2016840,"2022","January"
"793","Yukon",86483,"2022","January"
"794","Alberta",7794531,"2022","February"
"795","British Columbia",8832092,"2022","February"
"796","Manitoba",2144870,"2022","February"
"797","New Brunswick",1336770,"2022","February"
"798","Newfoundland and Labrador",903733,"2022","February"
"799","Northwest Territories",72514,"2022","February"
"800","Nova Scotia",1707012,"2022","February"
"801","Nunavut",48275,"2022","February"
"802","Ontario",24310029,"2022","February"
"803","Prince Edward Island",270626,"2022","February"
"804","Quebec",14033311,"2022","February"
"805","Saskatchewan",2049255,"2022","February"
"806","Yukon",86471,"2022","February"
"807","Alberta",7969592,"2022","March"
"808","British Columbia",8840646,"2022","March"
"809","Manitoba",2161744,"2022","March"
"810","New Brunswick",1342349,"2022","March"
"811","Newfoundland and Labrador",915525,"2022","March"
"812","Northwest Territories",75095,"2022","March"
"813","Nova Scotia",1679126,"2022","March"
"814","Nunavut",46914,"2022","March"
"815","Ontario",24449807,"2022","March"
"816","Prince Edward Island",268194,"2022","March"
"817","Quebec",13895189,"2022","March"
"818","Saskatchewan",2024775,"2022","March"
"819","Yukon",88760,"2022","March"
"820","Alberta",7989056,"2022","April"
"821","British Columbia",8959229,"2022","April"
"822","Manitoba",2083495,"2022","April"
"823","New Brunswick",1340707,"2022","April"
"824","Newfoundland and Labrador",920444,"2022","April"
"825","Northwest Territories",76390,"2022","April"
"826","Nova Scotia",1689162,"2022","April"
"827","Nunavut",48635,"2022","April"
"828","Ontario",24616762,"2022","April"
"829","Prince Edward Island",269014,"2022","April"
"830","Quebec",13896378,"2022","April"
"831","Saskatchewan",2048833,"2022","April"
"832","Yukon",88900,"2022","April"
"833","Alberta",8305570,"2022","May"
"834","British Columbia",9079182,"2022","May"
"835","Manitoba",2229843,"2022","May"
"836","New Brunswick",1404213,"2022","May"
"837","Newfoundland and Labrador",934566,"2022","May"
"838","Northwest Territories",79560,"2022","May"
"839","Nova Scotia",1739422,"2022","May"
"840","Nunavut",47230,"2022","May"
"841","Ontario",25024064,"2022","May"
"842","Prince Edward Island",281040,"2022","May"
"843","Quebec",14433076,"2022","May"
"844","Saskatchewan",2070236,"2022","May"
"845","Yukon",91332,"2022","May"
"846","Alberta",8121051,"2022","June"
"847","British Columbia",9078781,"2022","June"
"848","Manitoba",2214811,"2022","June"
"849","New Brunswick",1383800,"2022","June"
"850","Newfoundland and Labrador",913765,"2022","June"
"851","Northwest Territories",79997,"2022","June"
"852","Nova Scotia",1723020,"2022","June"
"853","Nunavut",47139,"2022","June"
"854","Ontario",26018417,"2022","June"
"855","Prince Edward Island",286693,"2022","June"
"856","Quebec",14232987,"2022","June"
"857","Saskatchewan",2110529,"2022","June"
"858","Yukon",97515,"2022","June"
"859","Alberta",8302778,"2022","July"
"860","British Columbia",9041067,"2022","July"
"861","Manitoba",2210276,"2022","July"
"862","New Brunswick",1401075,"2022","July"
"863","Newfoundland and Labrador",941916,"2022","July"
"864","Northwest Territories",75487,"2022","July"
"865","Nova Scotia",1748232,"2022","July"
"866","Nunavut",47341,"2022","July"
"867","Ontario",24384537,"2022","July"
"868","Prince Edward Island",288846,"2022","July"
"869","Quebec",14221299,"2022","July"
"870","Saskatchewan",2069413,"2022","July"
"871","Yukon",92718,"2022","July"
"872","Alberta",8312320,"2022","August"
"873","British Columbia",9144939,"2022","August"
"874","Manitoba",2231006,"2022","August"
"875","New Brunswick",1368487,"2022","August"
"876","Newfoundland and Labrador",958844,"2022","August"
"877","Northwest Territories",75755,"2022","August"
"878","Nova Scotia",1714108,"2022","August"
"879","Nunavut",48163,"2022","August"
"880","Ontario",24320748,"2022","August"
"881","Prince Edward Island",281978,"2022","August"
"882","Quebec",14351635,"2022","August"
"883","Saskatchewan",2110437,"2022","August"
"884","Yukon",92845,"2022","August"
"885","Alberta",8205353,"2022","September"
"886","British Columbia",8978529,"2022","September"
"887","Manitoba",2209132,"2022","September"
"888","New Brunswick",1379997,"2022","September"
"889","Newfoundland and Labrador",942387,"2022","September"
"890","Northwest Territories",78038,"2022","September"
"891","Nova Scotia",1688605,"2022","September"
"892","Nunavut",48576,"2022","September"
"893","Ontario",24553180,"2022","September"
"894","Prince Edward Island",278225,"2022","September"
"895","Quebec",14138462,"2022","September"
"896","Saskatchewan",2119847,"2022","September"
"897","Yukon",89043,"2022","September"
"898","Alberta",8335571,"2022","October"
"899","British Columbia",9054851,"2022","October"
"900","Manitoba",2260312,"2022","October"
"901","New Brunswick",1442466,"2022","October"
"902","Newfoundland and Labrador",967901,"2022","October"
"903","Northwest Territories",78987,"2022","October"
"904","Nova Scotia",1779588,"2022","October"
"905","Nunavut",50578,"2022","October"
"906","Ontario",24490479,"2022","October"
"907","Prince Edward Island",292067,"2022","October"
"908","Quebec",14506705,"2022","October"
"909","Saskatchewan",2172581,"2022","October"
"910","Yukon",90847,"2022","October"
"911","Alberta",8360709,"2022","November"
"912","British Columbia",9092190,"2022","November"
"913","Manitoba",2288205,"2022","November"
"914","New Brunswick",1390284,"2022","November"
"915","Newfoundland and Labrador",941705,"2022","November"
"916","Northwest Territories",75116,"2022","November"
"917","Nova Scotia",1774502,"2022","November"
"918","Nunavut",50626,"2022","November"
"919","Ontario",24433107,"2022","November"
"920","Prince Edward Island",291303,"2022","November"
"921","Quebec",14458071,"2022","November"
"922","Saskatchewan",2160407,"2022","November"
"923","Yukon",90625,"2022","November"
"924","Alberta",8431294,"2022","December"
"925","British Columbia",8960346,"2022","December"
"926","Manitoba",2275146,"2022","December"
"927","New Brunswick",1376248,"2022","December"
"928","Newfoundland and Labrador",952611,"2022","December"
"929","Northwest Territories",75236,"2022","December"
"930","Nova Scotia",1751762,"2022","December"
"931","Nunavut",49783,"2022","December"
"932","Ontario",24556102,"2022","December"
"933","Prince Edward Island",288985,"2022","December"
"934","Quebec",14484510,"2022","December"
"935","Saskatchewan",2140771,"2022","December"
"936","Yukon",89672,"2022","December"
"937","Alberta",8663913,"2023","January"
"938","British Columbia",9115422,"2023","January"
"939","Manitoba",2369089,"2023","January"
"940","New Brunswick",1385819,"2023","January"
"941","Newfoundland and Labrador",980716,"2023","January"
"942","Northwest Territories",78968,"2023","January"
"943","Nova Scotia",1820428,"2023","January"
"944","Nunavut",49857,"2023","January"
"945","Ontario",24703125,"2023","January"
"946","Prince Edward Island",297691,"2023","January"
"947","Quebec",14618704,"2023","January"
"948","Saskatchewan",2197969,"2023","January"
"949","Yukon",96548,"2023","January"
"950","Alberta",8488163,"2023","February"
"951","British Columbia",8823549,"2023","February"
"952","Manitoba",2234486,"2023","February"
"953","New Brunswick",1489028,"2023","February"
"954","Newfoundland and Labrador",973441,"2023","February"
"955","Northwest Territories",78786,"2023","February"
"956","Nova Scotia",1766190,"2023","February"
"957","Nunavut",51259,"2023","February"
"958","Ontario",24936661,"2023","February"
"959","Prince Edward Island",302847,"2023","February"
"960","Quebec",14798435,"2023","February"
"961","Saskatchewan",2097761,"2023","February"
"962","Yukon",94197,"2023","February"
"963","Alberta",8384050,"2023","March"
"964","British Columbia",8907392,"2023","March"
"965","Manitoba",2215969,"2023","March"
"966","New Brunswick",1351657,"2023","March"
"967","Newfoundland and Labrador",933420,"2023","March"
"968","Northwest Territories",75055,"2023","March"
"969","Nova Scotia",1723791,"2023","March"
"970","Nunavut",49949,"2023","March"
"971","Ontario",24407457,"2023","March"
"972","Prince Edward Island",287333,"2023","March"
"973","Quebec",14629014,"2023","March"
"974","Saskatchewan",2059956,"2023","March"
"975","Yukon",92233,"2023","March"
"976","Alberta",8442229,"2023","April"
"977","British Columbia",8993988,"2023","April"
"978","Manitoba",2224585,"2023","April"
"979","New Brunswick",1400548,"2023","April"
"980","Newfoundland and Labrador",895532,"2023","April"
"981","Northwest Territories",76584,"2023","April"
"982","Nova Scotia",1795273,"2023","April"
"983","Nunavut",50247,"2023","April"
"984","Ontario",24737279,"2023","April"
"985","Prince Edward Island",284482,"2023","April"
"986","Quebec",14718248,"2023","April"
"987","Saskatchewan",2074041,"2023","April"
"988","Yukon",94491,"2023","April"
"989","Alberta",8570667,"2023","May"
"990","British Columbia",9312942,"2023","May"
"991","Manitoba",2273037,"2023","May"
"992","New Brunswick",1401408,"2023","May"
"993","Newfoundland and Labrador",975940,"2023","May"
"994","Northwest Territories",79108,"2023","May"
"995","Nova Scotia",1775227,"2023","May"
"996","Nunavut",49915,"2023","May"
"997","Ontario",24485298,"2023","May"
"998","Prince Edward Island",296538,"2023","May"
"999","Quebec",14488951,"2023","May"
"1000","Saskatchewan",2018136,"2023","May"
"1001","Yukon",96369,"2023","May"
"1002","Alberta",8446955,"2023","June"
"1003","British Columbia",8996690,"2023","June"
"1004","Manitoba",2198507,"2023","June"
"1005","New Brunswick",1440752,"2023","June"
"1006","Newfoundland and Labrador",934164,"2023","June"
"1007","Northwest Territories",75006,"2023","June"
"1008","Nova Scotia",1761118,"2023","June"
"1009","Nunavut",49320,"2023","June"
"1010","Ontario",24818754,"2023","June"
"1011","Prince Edward Island",293282,"2023","June"
"1012","Quebec",14698719,"2023","June"
"1013","Saskatchewan",2058633,"2023","June"
"1014","Yukon",98876,"2023","June"
"1015","Alberta",8414745,"2023","July"
"1016","British Columbia",9117044,"2023","July"
"1017","Manitoba",2194497,"2023","July"
"1018","New Brunswick",1457169,"2023","July"
"1019","Newfoundland and Labrador",982665,"2023","July"
"1020","Northwest Territories",77513,"2023","July"
"1021","Nova Scotia",1726152,"2023","July"
"1022","Nunavut",50750,"2023","July"
"1023","Ontario",24722076,"2023","July"
"1024","Prince Edward Island",297611,"2023","July"
"1025","Quebec",14923382,"2023","July"
"1026","Saskatchewan",2084568,"2023","July"
"1027","Yukon",106350,"2023","July"
"1028","Alberta",8473136,"2023","August"
"1029","British Columbia",9032222,"2023","August"
"1030","Manitoba",2232767,"2023","August"
"1031","New Brunswick",1449299,"2023","August"
"1032","Newfoundland and Labrador",944223,"2023","August"
"1033","Northwest Territories",58124,"2023","August"
"1034","Nova Scotia",1759920,"2023","August"
"1035","Nunavut",51688,"2023","August"
"1036","Ontario",24683477,"2023","August"
"1037","Prince Edward Island",303280,"2023","August"
"1038","Quebec",14892690,"2023","August"
"1039","Saskatchewan",2088913,"2023","August"
"1040","Yukon",104170,"2023","August"
"1041","Alberta",8532372,"2023","September"
"1042","British Columbia",9081061,"2023","September"
"1043","Manitoba",2249407,"2023","September"
"1044","New Brunswick",1443825,"2023","September"
"1045","Newfoundland and Labrador",941015,"2023","September"
"1046","Northwest Territories",66448,"2023","September"
"1047","Nova Scotia",1766016,"2023","September"
"1048","Nunavut",54245,"2023","September"
"1049","Ontario",24745806,"2023","September"
"1050","Prince Edward Island",302341,"2023","September"
"1051","Quebec",14955643,"2023","September"
"1052","Saskatchewan",2144377,"2023","September"
"1053","Yukon",97332,"2023","September"
"1054","Alberta",8511233,"2023","October"
"1055","British Columbia",9113273,"2023","October"
"1056","Manitoba",2257138,"2023","October"
"1057","New Brunswick",1467234,"2023","October"
"1058","Newfoundland and Labrador",949888,"2023","October"
"1059","Northwest Territories",84860,"2023","October"
"1060","Nova Scotia",1768987,"2023","October"
"1061","Nunavut",54280,"2023","October"
"1062","Ontario",24884600,"2023","October"
"1063","Prince Edward Island",299355,"2023","October"
"1064","Quebec",15053030,"2023","October"
"1065","Saskatchewan",2160464,"2023","October"
"1066","Yukon",94917,"2023","October"
"1067","Alberta",8557998,"2023","November"
"1068","British Columbia",9168628,"2023","November"
"1069","Manitoba",2251896,"2023","November"
"1070","New Brunswick",1462888,"2023","November"
"1071","Newfoundland and Labrador",951577,"2023","November"
"1072","Northwest Territories",82376,"2023","November"
"1073","Nova Scotia",1759622,"2023","November"
"1074","Nunavut",49734,"2023","November"
"1075","Ontario",24944351,"2023","November"
"1076","Prince Edward Island",304782,"2023","November"
"1077","Quebec",14946838,"2023","November"
"1078","Saskatchewan",2106111,"2023","November"
"1079","Yukon",96237,"2023","November"
"1080","Alberta",8637380,"2023","December"
"1081","British Columbia",9305626,"2023","December"
"1082","Manitoba",2256711,"2023","December"
"1083","New Brunswick",1474488,"2023","December"
"1084","Newfoundland and Labrador",951565,"2023","December"
"1085","Northwest Territories",83367,"2023","December"
"1086","Nova Scotia",1782733,"2023","December"
"1087","Nunavut",51984,"2023","December"
"1088","Ontario",25262659,"2023","December"
"1089","Prince Edward Island",294810,"2023","December"
"1090","Quebec",14974722,"2023","December"
"1091","Saskatchewan",2126761,"2023","December"
"1092","Yukon",98551,"2023","December"
