"REF_DATE","GEO","VALUE"
"2022-08","Alberta",906253
"2022-09","Alberta",920380
"2022-10","Alberta",929684
"2022-11","Alberta",912873
"2022-12","Alberta",937555
"2023-01","Alberta",999786
"2023-02","Alberta",995741
"2023-03","Alberta",970178
"2023-04","Alberta",992381
"2023-05","Alberta",982998
"2023-06","Alberta",985279
"2023-07","Alberta",995174
"2023-08","Alberta",996700
"2023-09","Alberta",1004084
"2023-10","Alberta",1020938
"2023-11","Alberta",1019426
"2022-01","British Columbia",1033526
"2022-02","British Columbia",1187563
"2022-03","British Columbia",1202772
"2022-04","British Columbia",1222442
"2022-05","British Columbia",1218189
"2022-06","British Columbia",1231272
"2022-07","British Columbia",1220378
"2022-08","British Columbia",1233372
"2022-09","British Columbia",1265416
"2022-10","British Columbia",1280830
"2022-11","British Columbia",1278621
"2022-12","British Columbia",1285432
"2023-01","British Columbia",1363389
"2023-02","British Columbia",1376694
"2023-03","British Columbia",1343740
"2023-04","British Columbia",1334064
"2023-05","British Columbia",1341334
"2023-06","British Columbia",1343375
"2023-07","British Columbia",1342882
"2023-08","British Columbia",1330385
"2023-09","British Columbia",1351233
"2023-10","British Columbia",1360250
"2023-11","British Columbia",1368515
"2022-01","Yukon",6125
"2022-02","Yukon",6918
"2022-03","Yukon",7045
"2022-04","Yukon",7819
"2022-05","Yukon",7643
"2022-06","Yukon",7702
"2022-07","Yukon",7596
"2022-08","Yukon",7493
"2022-09","Yukon",7697
"2022-10","Yukon",7527
"2022-11","Yukon",7703
"2022-12","Yukon",7697
"2023-01","Yukon",NA
"2023-02","Yukon",8469
"2023-03","Yukon",8194
"2023-04","Yukon",8793
"2023-05","Yukon",9257
"2023-06","Yukon",9234
"2023-07","Yukon",9229
"2023-08","Yukon",9097
"2023-09","Yukon",9221
"2023-10","Yukon",9268
"2023-11","Yukon",9460
"2022-01","Northwest Territories",4711
"2022-02","Northwest Territories",5382
"2022-03","Northwest Territories",5505
"2022-04","Northwest Territories",5724
"2022-05","Northwest Territories",5830
"2022-06","Northwest Territories",5855
"2022-07","Northwest Territories",5914
"2022-08","Northwest Territories",5832
"2022-09","Northwest Territories",5978
"2022-10","Northwest Territories",6039
"2022-11","Northwest Territories",6286
"2022-12","Northwest Territories",6427
"2023-01","Northwest Territories",6592
"2023-02","Northwest Territories",6493
"2023-03","Northwest Territories",NA
"2023-04","Northwest Territories",6344
"2023-05","Northwest Territories",6574
"2023-06","Northwest Territories",6503
"2023-07","Northwest Territories",6275
"2023-08","Northwest Territories",4553
"2023-09","Northwest Territories",5178
"2023-10","Northwest Territories",6509
"2023-11","Northwest Territories",6494
"2022-01","Nunavut",1473
"2022-02","Nunavut",2155
"2022-03","Nunavut",2467
"2022-04","Nunavut",1861
"2022-05","Nunavut",NA
"2022-06","Nunavut",2376
"2022-07","Nunavut",2360
"2022-08","Nunavut",2375
"2022-09","Nunavut",2237
"2022-10","Nunavut",2333
"2022-11","Nunavut",NA
"2022-12","Nunavut",NA
"2023-01","Nunavut",2232
"2023-02","Nunavut",2341
"2023-03","Nunavut",2249
"2023-04","Nunavut",2639
"2023-05","Nunavut",NA
"2023-06","Nunavut",2872
"2023-07","Nunavut",NA
"2023-08","Nunavut",3238
"2023-09","Nunavut",3058
"2023-10","Nunavut",3715
"2023-11","Nunavut",4652
