"REF_DATE","GEO","DGUID","Principal statistics","Seasonal adjustment","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022-08","Prince Edward Island","2016A000211","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v804246","2.1.2.1","238437","A","","","0"
"2022-09","Prince Edward Island","2016A000211","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v804246","2.1.2.1","234455","A","","","0"
"2022-10","Prince Edward Island","2016A000211","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v804246","2.1.2.1","251369","A","","","0"
"2022-11","Prince Edward Island","2016A000211","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v804246","2.1.2.1","267337","A","","","0"
"2022-12","Prince Edward Island","2016A000211","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v804246","2.1.2.1","265634","A","","","0"
"2023-01","Prince Edward Island","2016A000211","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v804246","2.1.2.1","275895","A","","","0"
"2023-02","Prince Edward Island","2016A000211","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v804246","2.1.2.1","276812","A","","","0"
"2023-03","Prince Edward Island","2016A000211","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v804246","2.1.2.1","296518","A","","","0"
"2023-04","Prince Edward Island","2016A000211","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v804246","2.1.2.1","274511","A","","","0"
"2023-05","Prince Edward Island","2016A000211","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v804246","2.1.2.1","277239","A","","","0"
"2023-06","Prince Edward Island","2016A000211","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v804246","2.1.2.1","276289","A","","","0"
"2023-07","Prince Edward Island","2016A000211","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v804246","2.1.2.1","271435","A","","","0"
"2023-08","Prince Edward Island","2016A000211","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v804246","2.1.2.1","302980","A","","","0"
"2023-09","Prince Edward Island","2016A000211","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v804246","2.1.2.1","279585","A","","","0"
"2023-10","Prince Edward Island","2016A000211","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v804246","2.1.2.1","284081","A","","","0"
"2023-11","Prince Edward Island","2016A000211","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v804246","2.1.2.1","279229","A","","","0"
"2023-12","Prince Edward Island","2016A000211","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v804246","2.1.2.1","290573","A","","","0"
"2022-01","Nova Scotia","2016A000212","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v804706","3.1.2.1","836638","A","","","0"
"2022-02","Nova Scotia","2016A000212","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v804706","3.1.2.1","874999","B","","","0"
"2022-03","Nova Scotia","2016A000212","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v804706","3.1.2.1","926314","A","","","0"
"2022-04","Nova Scotia","2016A000212","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v804706","3.1.2.1","928882","A","","","0"
"2022-05","Nova Scotia","2016A000212","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v804706","3.1.2.1","1004240","A","","","0"
"2022-06","Nova Scotia","2016A000212","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v804706","3.1.2.1","918755","B","","","0"
"2022-07","Nova Scotia","2016A000212","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v804706","3.1.2.1","907082","A","","","0"
"2022-08","Nova Scotia","2016A000212","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v804706","3.1.2.1","906456","A","","","0"
"2022-09","Nova Scotia","2016A000212","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v804706","3.1.2.1","875590","A","","","0"
"2022-10","Nova Scotia","2016A000212","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v804706","3.1.2.1","883748","A","","","0"
"2022-11","Nova Scotia","2016A000212","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v804706","3.1.2.1","880543","A","","","0"
"2022-12","Nova Scotia","2016A000212","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v804706","3.1.2.1","879554","A","","","0"
"2023-01","Nova Scotia","2016A000212","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v804706","3.1.2.1","880417","A","","","0"
