"REF_DATE","GEO","DGUID","Supply and disposition","Products","Unit of measure","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022-01","Newfoundland and Labrador","2016A000210","Imports, supply","Natural gas liquids","Cubic metres","Cubic metres","72","units","0","v1251227568","2.4.2.1","0","","","","0"
"2022-02","Newfoundland and Labrador","2016A000210","Imports, supply","Natural gas liquids","Cubic metres","Cubic metres","72","units","0","v1251227568","2.4.2.1","0","","","","0"
"2022-03","Newfoundland and Labrador","2016A000210","Imports, supply","Natural gas liquids","Cubic metres","Cubic metres","72","units","0","v1251227568","2.4.2.1","0","","","","0"
"2022-04","Newfoundland and Labrador","2016A000210","Imports, supply","Natural gas liquids","Cubic metres","Cubic metres","72","units","0","v1251227568","2.4.2.1","0","","","","0"
"2022-05","Newfoundland and Labrador","2016A000210","Imports, supply","Natural gas liquids","Cubic metres","Cubic metres","72","units","0","v1251227568","2.4.2.1","0","","","","0"
"2022-06","Newfoundland and Labrador","2016A000210","Imports, supply","Natural gas liquids","Cubic metres","Cubic metres","72","units","0","v1251227568","2.4.2.1","0","","","","0"
"2022-07","Newfoundland and Labrador","2016A000210","Imports, supply","Natural gas liquids","Cubic metres","Cubic metres","72","units","0","v1251227568","2.4.2.1","0","","","","0"
"2022-08","Newfoundland and Labrador","2016A000210","Imports, supply","Natural gas liquids","Cubic metres","Cubic metres","72","units","0","v1251227568","2.4.2.1","0","","","","0"
"2022-09","Newfoundland and Labrador","2016A000210","Imports, supply","Natural gas liquids","Cubic metres","Cubic metres","72","units","0","v1251227568","2.4.2.1","0","","","","0"
"2022-10","Newfoundland and Labrador","2016A000210","Imports, supply","Natural gas liquids","Cubic metres","Cubic metres","72","units","0","v1251227568","2.4.2.1","0","","","","0"
"2022-11","Newfoundland and Labrador","2016A000210","Imports, supply","Natural gas liquids","Cubic metres","Cubic metres","72","units","0","v1251227568","2.4.2.1","0","","","","0"
"2022-12","Newfoundland and Labrador","2016A000210","Imports, supply","Natural gas liquids","Cubic metres","Cubic metres","72","units","0","v1251227568","2.4.2.1","0","","","","0"
"2023-01","Newfoundland and Labrador","2016A000210","Imports, supply","Natural gas liquids","Cubic metres","Cubic metres","72","units","0","v1251227568","2.4.2.1","0","","","","0"
"2023-02","Newfoundland and Labrador","2016A000210","Imports, supply","Natural gas liquids","Cubic metres","Cubic metres","72","units","0","v1251227568","2.4.2.1","0","","","","0"
"2023-03","Newfoundland and Labrador","2016A000210","Imports, supply","Natural gas liquids","Cubic metres","Cubic metres","72","units","0","v1251227568","2.4.2.1","0","","","","0"
"2023-04","Newfoundland and Labrador","2016A000210","Imports, supply","Natural gas liquids","Cubic metres","Cubic metres","72","units","0","v1251227568","2.4.2.1","0","","","","0"
"2023-05","Newfoundland and Labrador","2016A000210","Imports, supply","Natural gas liquids","Cubic metres","Cubic metres","72","units","0","v1251227568","2.4.2.1","0","","","","0"
