"REF_DATE","GEO","DGUID","Supply and disposition","Products","Unit of measure","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2023-03","Prince Edward Island","2016A000211","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227738","3.9.17.1","0","","","","0"
"2023-04","Prince Edward Island","2016A000211","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227738","3.9.17.1","0","","","","0"
"2023-05","Prince Edward Island","2016A000211","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227738","3.9.17.1","0","","","","0"
"2023-06","Prince Edward Island","2016A000211","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227738","3.9.17.1","0","","","","0"
"2023-07","Prince Edward Island","2016A000211","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227738","3.9.17.1","0","","","","0"
"2023-08","Prince Edward Island","2016A000211","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227738","3.9.17.1","0","","","","0"
"2023-09","Prince Edward Island","2016A000211","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227738","3.9.17.1","0","","","","0"
"2023-10","Prince Edward Island","2016A000211","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227738","3.9.17.1","0","","","","0"
"2023-11","Prince Edward Island","2016A000211","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227738","3.9.17.1","0","","","","0"
"2022-01","Nova Scotia","2016A000212","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227852","4.9.17.1","12518","","","","0"
"2022-02","Nova Scotia","2016A000212","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227852","4.9.17.1","215","","","","0"
"2022-03","Nova Scotia","2016A000212","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227852","4.9.17.1","19345","","","","0"
"2022-04","Nova Scotia","2016A000212","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227852","4.9.17.1","23543","","","","0"
"2022-05","Nova Scotia","2016A000212","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227852","4.9.17.1","175","","","","0"
"2022-06","Nova Scotia","2016A000212","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227852","4.9.17.1","118","","","","0"
"2022-07","Nova Scotia","2016A000212","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227852","4.9.17.1","3965","","","","0"
"2022-08","Nova Scotia","2016A000212","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227852","4.9.17.1","614","","","","0"
"2022-09","Nova Scotia","2016A000212","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227852","4.9.17.1","0","","","","0"
"2022-10","Nova Scotia","2016A000212","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227852","4.9.17.1","12","","","","0"
"2022-11","Nova Scotia","2016A000212","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227852","4.9.17.1","24","","","","0"
"2022-12","Nova Scotia","2016A000212","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227852","4.9.17.1","0","","","","0"
"2023-01","Nova Scotia","2016A000212","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227852","4.9.17.1","98","","","","0"
"2023-02","Nova Scotia","2016A000212","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227852","4.9.17.1","1","","","","0"
"2023-03","Nova Scotia","2016A000212","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227852","4.9.17.1","78","","","","0"
"2023-04","Nova Scotia","2016A000212","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227852","4.9.17.1","87","","","","0"
"2023-05","Nova Scotia","2016A000212","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227852","4.9.17.1","26303","","","","0"
"2023-06","Nova Scotia","2016A000212","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227852","4.9.17.1","39969","","","","0"
"2023-07","Nova Scotia","2016A000212","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227852","4.9.17.1","7076","","","","0"
"2023-08","Nova Scotia","2016A000212","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227852","4.9.17.1","0","","","","0"
"2023-09","Nova Scotia","2016A000212","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227852","4.9.17.1","0","","","","0"
